127.0.0.1 - - [29/Aug/2016:08:44:08 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Aug/2016:08:44:08 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [29/Aug/2016:08:46:13 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [29/Aug/2016:08:46:32 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [29/Aug/2016:08:53:02 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [29/Aug/2016:08:55:39 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [29/Aug/2016:08:55:39 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2016:08:55:40 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2016:08:57:11 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [29/Aug/2016:08:59:42 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 749
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:00:49 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:00:50 +0900] "GET /WebBasic/Ex01_Basic.hyml HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:00:54 +0900] "GET /WebBasic/Ex01_Basic.hyml HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:01:18 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:01:19 +0900] "GET /WebBasic/Ex01_Basic.html HTTP/1.1" 200 3626
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:01:19 +0900] "GET /WebBasic/images/noun_103664_cc.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:03:12 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:03:13 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:03:27 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:03:27 +0900] "GET /WebBasic/h214.png HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:03:27 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:03:28 +0900] "GET /WebBasic/h214.png HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:03:50 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:03:51 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:04:19 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:04:20 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:04:30 +0900] "GET /WebBasic/Ex00_QUIZ.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [29/Aug/2016:09:04:30 +0900] "GET /WebBasic/h214.png HTTP/1.1" 404 1028
